title,event,eventTime
英国卫生和社会保障部负责医疗次官确诊新冠肺炎,当地时间10日，英国卫生和社会保障部负责医疗的次官纳丁·多里斯(Nadine Dorries)确诊新冠肺炎，已在家中隔离。据了解，她曾在过去一周内在议会与上百人会面，并且与英国首相约翰逊在唐宁街10号一同参加了招待会。多里斯在上周五出现症状，并在当地时间10日晚确诊。,2020-03-11
波兰武装部队总司令确诊感染新冠肺炎,波兰国防部证实，波兰武装部队总司令雅罗斯瓦夫·米卡（Jaroslaw Mika）在新冠病毒检测中呈阳性，确诊感染新冠肺炎。,2020-03-11
西班牙众议院第二副议长新冠肺炎检测呈阳性 ,当地时间11日16时，根据西班牙埃菲社消息，西班牙众议院第二副议长安娜·帕斯托尔新冠肺炎检测呈阳性。目前安娜·帕斯托尔没有出现严重的症状，自行在家隔离。 ,2020-03-11
西班牙Vox党秘书长新冠病毒检测阳性,据欧洲新闻台3月10日报道，Vox领导人圣地亚哥·阿巴斯卡尔（Santiago Abascal）在一份声明中证实，奥尔特加·史密斯感染了新冠病毒，并承认在上周日（8日）举行政治集会是错误的。,2020-03-10
法国文化部长确诊感染新冠肺炎,3月9日晚，法国文化部表示，文化部长弗兰克·里斯特新冠肺炎病毒检测呈阳性。此外，法国国民议会（议会下院）已有5名议员确诊感染，另有2名工作人员确诊。巴黎高等师范学院校长、巴黎机场集团首席执行官等也都确诊。,2020-03-09
意大利陆军参谋长确诊感染新冠肺炎,意大利陆军参谋长萨尔瓦多莱·法利纳8日下午发表声明称，他本人病毒核酸检测呈阳性，目前正在自己的居所内隔离。,2020-03-09
意大利民主党主席确诊新冠病毒阳性,意大利民主党主席、拉齐奥大区主席尼古拉·津加雷蒂（Nicola Zingaretti）7日在脸书发布视频：“它来了。我也感染了新冠肺炎。但我还好，在家隔离中。从现在开始，我会继续做一些力所能及的事情。卫生局（ASL）正在联系最近和我密切接触的人去做检查。”外媒称，他是意大利第一个确认感染新冠肺炎的政治领导人。,2020-03-07
前丹麦国脚卡伦博格感染新冠,丹麦豪门布隆德比官方确认，前球队名宿托马斯-卡伦博格在上周前往荷兰参加聚会之后回到丹麦被确诊感染冠状病毒，而他上周末刚刚在球队主场布隆德比球场观看了布隆德比和Lyngby BK的比赛，目前，包括布隆德比CEO在内的13人已经被要求隔离。,2020-03-06
伊朗女副总统确诊感染新型冠状病毒,据新华社德黑兰2月27日报道，伊朗负责女性和家庭事务的女副总统玛苏梅·埃卜特卡尔27日被确诊感染新型冠状病毒。伊朗总统府公共关系负责人法丽巴·埃卜特哈杰当天说，埃卜特卡尔的新冠病毒检测结果为阳性，目前正在家中接受治疗。,2020-02-27
伊朗卫生部副部长确认感染新冠病毒 ,伊朗卫生部副部长Iraj Harirchi在新冠病毒检测呈阳性后，录制了一段视频。视频中他确认自己感染了病毒。据悉，Iraj Harirchi在确诊前一天的发布会上频频擦汗，期间还有咳嗽。此外，Iraj Harirchi在确诊前一晚还曾参加电视节目访谈，期间不停的捂嘴咳嗽，还和主持人调侃，自己该捂着嘴巴。,2020-02-26
天文学泰斗韩天芑感染新冠肺炎病危,98岁天文学泰斗韩天芑（qǐ ）的孙女韩时珺发文求助：爷爷感染新冠肺炎病危，希望能找到新冠肺炎康复者血浆,2020-02-24
